variable_source,document_source,role_source,variable_candidate,document_candidate,role_candidate,relation_type,confidence,proposed_canonical_field,reason,question_to_human,recommendation_if_validated
ordre_departemental,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,departement_ordre,DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;DOC-043,identité / qualification personne,EXPLICIT_REUSE_ONLY,0.74,ordre.departemental,Departement ordinal et departement de rattachement doivent etre reutilises seulement si le role ordinal est identique.,Q-005,"Autoriser une reutilisation conditionnelle dans le futur front, avec case/role explicite et sans fusion de stockage."
date_signature,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;...(+32),date / échéance,date_decision,DOC-003;DOC-004,date / échéance,DISTINCT_FIELDS,0.88,date.signature != decision.date,La date de signature et la date de decision peuvent diverger.,Q-008,Conserver deux champs ou deux instances rolees dans le futur schema.
date_signature,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;...(+32),date / échéance,date_bail,DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012,date / échéance,DISTINCT_FIELDS,0.88,date.signature != bail.date,La date de signature du document et la date de bail ne sont pas la meme information metier.,Q-008,Conserver deux champs ou deux instances rolees dans le futur schema.
date_signature,DOC-001;DOC-002;DOC-003;DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;...(+32),date / échéance,date_entree_jouissance,DOC-009;DOC-010;DOC-011;DOC-012,date / échéance,DISTINCT_FIELDS,0.88,date.signature != cession.date_entree_jouissance,Date de signature et entree en jouissance doivent rester separees.,Q-008,Conserver deux champs ou deux instances rolees dans le futur schema.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,adresse_cabinet,DOC-009;DOC-010;DOC-011;DOC-012,adresse / localisation,DISTINCT_FIELDS,0.88,societe.siege.adresse != cabinet.adresse,Siege social et adresse du cabinet peuvent etre differents.,Q-002,Conserver deux champs ou deux instances rolees dans le futur schema.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,adresse_lieu_exercice,DOC-013;DOC-014;DOC-016;DOC-017;DOC-018,adresse / localisation,DISTINCT_FIELDS,0.88,societe.siege.adresse != exercice.adresse,Siege social et lieu d exercice peuvent etre differents.,Q-002,Conserver deux champs ou deux instances rolees dans le futur schema.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,DISTINCT_FIELDS,0.88,personne.adresse_personnelle != societe.siege.adresse,Adresse personnelle et siege social ne doivent jamais fusionner par defaut.,Q-002,Conserver deux champs ou deux instances rolees dans le futur schema.
capital_social,DOC-002;DOC-003;DOC-004;DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;...(+24),montant / capital / titres,capital_social_acquereur,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,DISTINCT_FIELDS,0.88,societe.cible.capital_social != societe.acquereur.capital_social,Deux societes differentes peuvent porter chacune un capital social.,Q-006,Conserver deux champs ou deux instances rolees dans le futur schema.
capital_social_societe_cedee,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,capital_social_acquereur,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,DISTINCT_FIELDS,0.88,societe.cedee.capital_social != societe.acquereur.capital_social,Societe cedee et acquereur sont deux entites distinctes.,Q-006,Conserver deux champs ou deux instances rolees dans le futur schema.
prix_unitaire_part,DOC-029;DOC-031;DOC-032;DOC-033;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,prix_global_parts,DOC-031;DOC-032;DOC-033,montant / capital / titres,DISTINCT_FIELDS,0.88,cession.parts.prix_unitaire != cession.parts.prix_total,Prix unitaire et prix global sont lies par calcul potentiel mais ne sont pas le meme champ.,Q-006,Conserver deux champs ou deux instances rolees dans le futur schema.
cession_prix_elements_corporels,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,cession_prix_elements_incorporels,DOC-009;DOC-010;DOC-011;DOC-012,montant / capital / titres,DISTINCT_FIELDS,0.88,cession.cabinet.prix_corporel != cession.cabinet.prix_incorporel,Les composantes corporelles et incorporelles du prix sont distinctes.,Q-006,Conserver deux champs ou deux instances rolees dans le futur schema.
numero_rcs,DOC-026;DOC-027;DOC-028;DOC-030;DOC-031;DOC-032;DOC-033,identité / qualification société,numero_rcs_societe_cedee,DOC-023;DOC-024;DOC-029;DOC-031;DOC-032;DOC-033;DOC-035;DOC-036;...(+7),identité / qualification société,DISTINCT_FIELDS,0.88,societe.dossier.rcs != societe.cedee.rcs,Le RCS de la societe dossier ne doit pas absorber celui de la societe cedee.,Q-004,Conserver deux champs ou deux instances rolees dans le futur schema.
ville_rcs,DOC-003;DOC-004;DOC-007;DOC-008;DOC-019;DOC-020;DOC-021;DOC-023;...(+15),adresse / localisation,ville_rcs_societe_apportee,DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;DOC-043,montant / capital / titres,DISTINCT_FIELDS,0.88,societe.dossier.rcs_ville != societe.apportee.rcs_ville,La ville RCS depend de l entite societaire.,Q-004,Conserver deux champs ou deux instances rolees dans le futur schema.
nom_banque,DOC-007;DOC-008;DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;...(+11),identité / qualification personne,depot_fonds_banque_nom,DOC-015,identité / qualification personne,DISTINCT_FIELDS,0.88,banque.financement.nom != banque.depot_fonds.nom,La banque de financement et la banque de depot peuvent etre distinctes.,Q-010,Conserver deux champs ou deux instances rolees dans le futur schema.
adresse_service_enregistrement,DOC-031;DOC-032;DOC-033,adresse / localisation,adresse_impots_ligne_1,DOC-022,adresse / localisation,DISTINCT_FIELDS,0.88,service_enregistrement.adresse != impots.adresse_ligne,Administration fiscale et service enregistrement peuvent etre des constantes locales distinctes.,Q-010,Conserver deux champs ou deux instances rolees dans le futur schema.
conjoint_nom,DOC-005;DOC-006;DOC-016;DOC-017;DOC-018,identité / qualification personne,associes_list_nom,DOC-026;DOC-027;DOC-028;DOC-030;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,DISTINCT_FIELDS,0.88,personne.conjoint.nom != personne.associe.nom,Conjoint et associe sont des roles differents par defaut.,Q-001,Conserver deux champs ou deux instances rolees dans le futur schema.
nom_personne_2,DOC-003;DOC-004;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;...(+15),identité / qualification personne,associes_list_nom,DOC-026;DOC-027;DOC-028;DOC-030;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personne.{role}.nom,Index personne_2 visible dans les templates legacy sans role metier stable.,Q-001,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
prenom_personne_2,DOC-003;DOC-004;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;DOC-021;...(+15),identité / qualification personne,associes_list_prenom,DOC-026;DOC-027;DOC-028;DOC-030;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personne.{role}.prenom,Index personne_2 visible dans les templates legacy sans role metier stable.,Q-001,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
civilite_personne_1,DOC-003;DOC-004;DOC-019;DOC-020;DOC-021;DOC-022;DOC-025;DOC-026;...(+8),identité / qualification personne,signataire_civilite_affichage,DOC-001;DOC-002;DOC-003;DOC-013;DOC-014,identité / qualification personne,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personne.{role}.civilite_affichage,"personne_1 peut etre signataire, associe ou autre selon document.",Q-001,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
cp_ville_personne_1,DOC-043,adresse / localisation,signataire_adresse_personnelle_cp,DOC-001;DOC-003,adresse / localisation,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personne.{role}.adresse_personnelle,Forme composite cp/ville et role personne_1 non stabilise.,Q-002,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
dossier_structure,DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012;...(+31),à qualifier,dossier_options_cession,DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012;DOC-029;DOC-035;...(+7),condition / option,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,dossier.options,Option technique/specification pouvant representer une decision UI ou une derivee.,Q-009,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
associes_list,DOC-001;DOC-002;DOC-003;DOC-004;DOC-013;DOC-014;DOC-015;DOC-016;...(+19),collection répétable,associe_nom,DOC-004;DOC-016;DOC-017;DOC-018,identité / qualification personne,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personnes.associes[],Collection associes vs champs scalaires associe doivent etre arbitres pour l UI.,Q-001,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
signataires_list,DOC-019;DOC-020;DOC-021;DOC-025,signature / clôture,document_signataire_nom,DOC-007;DOC-008,identité / qualification personne,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,personnes.signataires[],Liste de signataires vs signataire unique depend du document.,Q-007,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
capital_souscription_souscripteurs_list,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,associes_list,DOC-001;DOC-002;DOC-003;DOC-004;DOC-013;DOC-014;DOC-015;DOC-016;...(+19),collection répétable,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,capital.souscription.souscripteurs[],Souscripteurs et associes peuvent diverger avant/apres operation.,Q-006,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
site_declare_adresse_affichee,DOC-013;DOC-014,adresse / localisation,adresse_lieu_exercice,DOC-013;DOC-014;DOC-016;DOC-017;DOC-018,adresse / localisation,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.50,exercice.site_declare.adresse,Site declare et lieu d exercice semblent proches mais pas garantis identiques.,Q-002,Demander un arbitrage et documenter la regle avant toute fusion ou reutilisation.
societe_cible_denomination,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),identité / qualification personne,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_cible_numero_rcs,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),identité / qualification société,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_cible_siege_adresse_affichee,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_cible_ville_rcs,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_titres_nb_parts,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
capital_souscription_nb_actions_total,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
capital_souscription_valeur_nominale_action,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_capital_social,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_denomination,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),identité / qualification personne,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_forme_sociale,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),identité / qualification société,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_siege_adresse_affichee,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_titres_nb_parts_lettres,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_titres_plage_parts,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_titres_valeur_globale,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
capital_souscription_souscripteurs_list,DOC-023;DOC-024;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_siege_adresse_affichee,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+9),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_cible_forme_sociale,DOC-023;DOC-024;DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;...(+4),identité / qualification société,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_forme_sociale_abregee,DOC-029;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),identité / qualification société,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
ordre_ville,DOC-013;DOC-014;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;...(+3),identité / qualification personne,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_siege_cp,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_siege_num_voie,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_siege_ville,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
societe_spfpl_siege_voie,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),adresse / localisation,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
exercice_social_debut,DOC-015;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),à qualifier,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
exercice_social_fin,DOC-015;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),à qualifier,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
ordre_profession_reglementee,DOC-034;DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;...(+2),identité / qualification personne,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_numeraire_banque_adresse_affichee,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
apport_numeraire_banque_nom,DOC-035;DOC-036;DOC-037;DOC-038;DOC-039;DOC-040;DOC-041;DOC-042;...(+1),montant / capital / titres,NO_TEMPLATE_OR_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.40,to_qualify.source_spec_only,Variable observee uniquement en spec_delivery dans l inventaire brut; verifier si elle doit entrer dans le front ou rester une derivee/spec locale.,Q-009,Ne pas demander au front tant que le template ou le mapping code ne confirme pas le besoin de saisie.
adresse_siege,DOC-007;DOC-008;DOC-013;DOC-014;DOC-015;DOC-016;DOC-017;DOC-018;...(+22),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
nombre_exemplaires_lettres,DOC-005;DOC-006;DOC-007;DOC-008;DOC-009;DOC-010;DOC-011;DOC-012;...(+17),montant / capital / titres,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
adresse_personnelle,DOC-015;DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;...(+8),adresse / localisation,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
nom_banque,DOC-007;DOC-008;DOC-015;DOC-016;DOC-017;DOC-018;DOC-019;DOC-020;...(+11),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
nom_conjoint,DOC-005;DOC-006;DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;...(+7),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
ordre_departemental,DOC-015;DOC-016;DOC-017;DOC-018;DOC-035;DOC-036;DOC-037;DOC-038;...(+5),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
profession,DOC-016;DOC-017;DOC-018;DOC-023;DOC-024;DOC-034;DOC-035;DOC-036;...(+7),identité / qualification personne,NO_V1_CODE_MAPPING_SIGNAL,,,UNCERTAIN_REQUIRES_HUMAN_DECISION,0.45,to_qualify.template_without_v1_mapping,Variable presente dans au moins un template_docx mais absente du code_mapping V1; risque de champ oublie ou legacy non branche.,Q-009,Verifier document par document avant de creer un champ UI global.
